Ticket,Fecha,Producto,Cantidad,Precio,Total_Ítem,Subtotal,Descuento,IVA,Total,Método_Pago
027GRW,2025-08-18,Huevos 12pz,1,83.61,83.61,6262.95,313.15,951.97,6852.83,Transferencia
027GRW,2025-08-18,Leche 1L,2,25.06,50.13,6262.95,313.15,951.97,6852.83,Transferencia
027GRW,2025-08-18,Detergente 2kg,3,86.17,258.51,6262.95,313.15,951.97,6852.83,Transferencia
027GRW,2025-08-18,Leche 1L,3,24.29,72.86,6262.95,313.15,951.97,6852.83,Transferencia
027GRW,2025-08-18,Leche 1L,1,24.27,24.27,6262.95,313.15,951.97,6852.83,Transferencia
027GRW,2025-08-18,Microondas,2,2013.07,4026.14,6262.95,313.15,951.97,6852.83,Transferencia
027GRW,2025-08-18,Leche 1L,2,25.25,50.49,6262.95,313.15,951.97,6852.83,Transferencia
027GRW,2025-08-18,Audífonos,1,1495.04,1495.04,6262.95,313.15,951.97,6852.83,Transferencia
027GRW,2025-08-18,Refresco 2L,1,33.71,33.71,6262.95,313.15,951.97,6852.83,Transferencia
027GRW,2025-08-18,Arroz 1kg,2,39.88,79.76,6262.95,313.15,951.97,6852.83,Transferencia
04IUR9,2025-06-27,Audífonos,1,1541.71,1541.71,5591.15,0.0,894.58,6448.71,Efectivo
04IUR9,2025-06-27,Microondas,1,1968.54,1968.54,5591.15,0.0,894.58,6448.71,Efectivo
04IUR9,2025-06-27,Detergente 2kg,3,92.92,278.77,5591.15,0.0,894.58,6448.71,Efectivo
04IUR9,2025-06-27,Detergente 2kg,1,91.62,91.62,5591.15,0.0,894.58,6448.71,Efectivo
04IUR9,2025-06-27,Pollo 1kg,3,124.09,372.28,5591.15,0.0,894.58,6448.71,Efectivo
04IUR9,2025-06-27,Pollo 1kg,2,114.19,228.39,5591.15,0.0,894.58,6448.71,Efectivo
04IUR9,2025-06-27,Leche 1L,1,24.9,24.9,5591.15,0.0,894.58,6448.71,Efectivo
04IUR9,2025-06-27,Pan Baguette,1,31.07,31.07,5591.15,0.0,894.58,6448.71,Efectivo
04IUR9,2025-06-27,Arroz 1kg,3,40.67,122.0,5591.15,0.0,894.58,6448.71,Efectivo
04IUR9,2025-06-27,Detergente 2kg,2,94.07,188.15,5591.15,0.0,894.58,6448.71,Efectivo
04IUR9,2025-06-27,Leche 1L,1,24.63,24.63,5591.15,0.0,894.58,6448.71,Efectivo
04IUR9,2025-06-27,Sartén antiadherente,1,341.4,341.4,5591.15,0.0,894.58,6448.71,Efectivo
04IUR9,2025-06-27,Pollo 1kg,3,125.9,377.69,5591.15,0.0,894.58,6448.71,Efectivo
05ICV4,2025-06-03,Huevos 12pz,3,82.49,247.47,5455.44,0.0,872.87,6203.88,Transferencia
05ICV4,2025-06-03,Refresco 2L,2,34.04,68.09,5455.44,0.0,872.87,6203.88,Transferencia
05ICV4,2025-06-03,Pollo 1kg,5,120.09,600.45,5455.44,0.0,872.87,6203.88,Transferencia
05ICV4,2025-06-03,Refresco 2L,1,36.37,36.37,5455.44,0.0,872.87,6203.88,Transferencia
05ICV4,2025-06-03,Leche 1L,2,24.59,49.18,5455.44,0.0,872.87,6203.88,Transferencia
05ICV4,2025-06-03,Refresco 2L,1,35.41,35.41,5455.44,0.0,872.87,6203.88,Transferencia
05ICV4,2025-06-03,Pan Baguette,3,28.77,86.31,5455.44,0.0,872.87,6203.88,Transferencia
05ICV4,2025-06-03,Leche 1L,6,24.37,146.23,5455.44,0.0,872.87,6203.88,Transferencia
05ICV4,2025-06-03,Huevos 12pz,2,78.86,157.71,5455.44,0.0,872.87,6203.88,Transferencia
05ICV4,2025-06-03,Microondas,2,2014.11,4028.22,5455.44,0.0,872.87,6203.88,Transferencia
06WB1Z,2025-06-20,Pan Baguette,2,29.27,58.55,4898.81,0.0,783.81,5698.44,Transferencia
06WB1Z,2025-06-20,Pan Baguette,1,28.5,28.5,4898.81,0.0,783.81,5698.44,Transferencia
06WB1Z,2025-06-20,Sartén antiadherente,3,361.97,1085.9,4898.81,0.0,783.81,5698.44,Transferencia
06WB1Z,2025-06-20,Detergente 2kg,1,85.84,85.84,4898.81,0.0,783.81,5698.44,Transferencia
06WB1Z,2025-06-20,Huevos 12pz,2,76.46,152.92,4898.81,0.0,783.81,5698.44,Transferencia
06WB1Z,2025-06-20,Pan Baguette,1,29.5,29.5,4898.81,0.0,783.81,5698.44,Transferencia
06WB1Z,2025-06-20,Refresco 2L,2,33.76,67.52,4898.81,0.0,783.81,5698.44,Transferencia
06WB1Z,2025-06-20,Licuadora,3,777.8,2333.39,4898.81,0.0,783.81,5698.44,Transferencia
06WB1Z,2025-06-20,Refresco 2L,1,36.18,36.18,4898.81,0.0,783.81,5698.44,Transferencia
06WB1Z,2025-06-20,Licuadora,1,793.1,793.1,4898.81,0.0,783.81,5698.44,Transferencia
06WB1Z,2025-06-20,Pollo 1kg,1,124.47,124.47,4898.81,0.0,783.81,5698.44,Transferencia
06WB1Z,2025-06-20,Refresco 2L,3,34.31,102.94,4898.81,0.0,783.81,5698.44,Transferencia
09PTL6,2025-07-16,Huevos 12pz,2,83.49,166.97,5607.87,0.0,897.26,6512.78,Tarjeta
09PTL6,2025-07-16,Licuadora,3,830.28,2490.83,5607.87,0.0,897.26,6512.78,Tarjeta
09PTL6,2025-07-16,Leche 1L,1,24.01,24.01,5607.87,0.0,897.26,6512.78,Tarjeta
09PTL6,2025-07-16,Detergente 2kg,3,92.94,278.81,5607.87,0.0,897.26,6512.78,Tarjeta
09PTL6,2025-07-16,Licuadora,1,815.36,815.36,5607.87,0.0,897.26,6512.78,Tarjeta
09PTL6,2025-07-16,Sartén antiadherente,1,352.84,352.84,5607.87,0.0,897.26,6512.78,Tarjeta
09PTL6,2025-07-16,Sartén antiadherente,3,345.39,1036.16,5607.87,0.0,897.26,6512.78,Tarjeta
09PTL6,2025-07-16,Leche 1L,3,24.16,72.48,5607.87,0.0,897.26,6512.78,Tarjeta
09PTL6,2025-07-16,Arroz 1kg,3,40.16,120.49,5607.87,0.0,897.26,6512.78,Tarjeta
09PTL6,2025-07-16,Huevos 12pz,3,83.31,249.92,5607.87,0.0,897.26,6512.78,Tarjeta
0AV6UQ,2025-07-21,Huevos 12pz,2,82.26,164.53,5626.51,0.0,900.24,6489.36,Tarjeta
0AV6UQ,2025-07-21,Audífonos,1,1444.61,1444.61,5626.51,0.0,900.24,6489.36,Tarjeta
0AV6UQ,2025-07-21,Arroz 1kg,6,38.28,229.67,5626.51,0.0,900.24,6489.36,Tarjeta
0AV6UQ,2025-07-21,Pan Baguette,2,31.09,62.18,5626.51,0.0,900.24,6489.36,Tarjeta
0AV6UQ,2025-07-21,Huevos 12pz,3,80.33,240.98,5626.51,0.0,900.24,6489.36,Tarjeta
0AV6UQ,2025-07-21,Sartén antiadherente,1,353.82,353.82,5626.51,0.0,900.24,6489.36,Tarjeta
0AV6UQ,2025-07-21,Sartén antiadherente,2,361.71,723.43,5626.51,0.0,900.24,6489.36,Tarjeta
0AV6UQ,2025-07-21,Pollo 1kg,3,114.89,344.67,5626.51,0.0,900.24,6489.36,Tarjeta
0AV6UQ,2025-07-21,Huevos 12pz,3,81.52,244.56,5626.51,0.0,900.24,6489.36,Tarjeta
0AV6UQ,2025-07-21,Licuadora,2,777.5,1555.01,5626.51,0.0,900.24,6489.36,Tarjeta
0AV6UQ,2025-07-21,Detergente 2kg,3,87.68,263.05,5626.51,0.0,900.24,6489.36,Tarjeta
0BZHF6,2025-07-19,Refresco 2L,23,36.32,835.33,91339.37,4566.97,13883.58,100772.79,Efectivo
0BZHF6,2025-07-19,Celular básico,18,4984.97,89729.52,91339.37,4566.97,13883.58,100772.79,Efectivo
0BZHF6,2025-07-19,Detergente 2kg,4,90.76,363.05,91339.37,4566.97,13883.58,100772.79,Efectivo
0BZHF6,2025-07-19,Refresco 2L,11,35.66,392.22,91339.37,4566.97,13883.58,100772.79,Efectivo
0BZHF6,2025-07-19,Refresco 2L,11,1.75,19.25,91339.37,4566.97,13883.58,100772.79,Efectivo
0C1I2C,2025-07-17,Detergente 2kg,2,89.05,178.09,6120.95,306.05,930.38,6741.93,Tarjeta
0C1I2C,2025-07-17,Refresco 2L,3,36.13,108.38,6120.95,306.05,930.38,6741.93,Tarjeta
0C1I2C,2025-07-17,Pan Baguette,1,28.98,28.98,6120.95,306.05,930.38,6741.93,Tarjeta
0C1I2C,2025-07-17,Licuadora,2,832.85,1665.71,6120.95,306.05,930.38,6741.93,Tarjeta
0C1I2C,2025-07-17,Pan Baguette,2,30.02,60.03,6120.95,306.05,930.38,6741.93,Tarjeta
0C1I2C,2025-07-17,Licuadora,3,786.06,2358.17,6120.95,306.05,930.38,6741.93,Tarjeta
0C1I2C,2025-07-17,Pan Baguette,2,29.95,59.9,6120.95,306.05,930.38,6741.93,Tarjeta
0C1I2C,2025-07-17,Licuadora,1,811.77,811.77,6120.95,306.05,930.38,6741.93,Tarjeta
0C1I2C,2025-07-17,Sartén antiadherente,1,351.67,351.67,6120.95,306.05,930.38,6741.93,Tarjeta
0C1I2C,2025-07-17,Pollo 1kg,1,115.06,115.06,6120.95,306.05,930.38,6741.93,Tarjeta
0C1I2C,2025-07-17,Detergente 2kg,3,92.69,278.06,6120.95,306.05,930.38,6741.93,Tarjeta
0C1I2C,2025-07-17,Arroz 1kg,2,39.68,79.36,6120.95,306.05,930.38,6741.93,Tarjeta
0C1I2C,2025-07-17,Leche 1L,1,25.77,25.77,6120.95,306.05,930.38,6741.93,Tarjeta
0CU5QI,2025-06-23,Pan Baguette,3,30.69,92.06,4985.04,0.0,797.61,5827.17,Tarjeta
0CU5QI,2025-06-23,Detergente 2kg,2,86.53,173.06,4985.04,0.0,797.61,5827.17,Tarjeta
0CU5QI,2025-06-23,Pan Baguette,2,30.89,61.77,4985.04,0.0,797.61,5827.17,Tarjeta
0CU5QI,2025-06-23,Sartén antiadherente,3,347.98,1043.93,4985.04,0.0,797.61,5827.17,Tarjeta
0CU5QI,2025-06-23,Detergente 2kg,3,88.5,265.51,4985.04,0.0,797.61,5827.17,Tarjeta
0CU5QI,2025-06-23,Leche 1L,2,25.5,51.0,4985.04,0.0,797.61,5827.17,Tarjeta
0CU5QI,2025-06-23,Pollo 1kg,2,118.61,237.21,4985.04,0.0,797.61,5827.17,Tarjeta
0CU5QI,2025-06-23,Sartén antiadherente,2,355.31,710.62,4985.04,0.0,797.61,5827.17,Tarjeta
0CU5QI,2025-06-23,Licuadora,3,760.79,2282.37,4985.04,0.0,797.61,5827.17,Tarjeta
0CU5QI,2025-06-23,Refresco 2L,2,33.75,67.51,4985.04,0.0,797.61,5827.17,Tarjeta
0EUVM2,2025-08-09,Arroz 1kg,2,39.65,79.3,187446.94,9372.35,28491.93,206467.61,Efectivo
0EUVM2,2025-08-09,Arroz 1kg,3,39.54,118.61,187446.94,9372.35,28491.93,206467.61,Efectivo
0EUVM2,2025-08-09,Arroz 1kg,6,1.04,6.26,187446.94,9372.35,28491.93,206467.61,Efectivo
0EUVM2,2025-08-09,Celular básico,6,5248.55,31491.3,187446.94,9372.35,28491.93,206467.61,Efectivo
0EUVM2,2025-08-09,Audífonos,3,2323.32,6969.97,187446.94,9372.35,28491.93,206467.61,Efectivo
0EUVM2,2025-08-09,Licuadora,47,3163.89,148702.95,187446.94,9372.35,28491.93,206467.61,Efectivo
0EUVM2,2025-08-09,Leche 1L,3,26.18,78.55,187446.94,9372.35,28491.93,206467.61,Efectivo
0FHWEB,2025-07-15,Arroz 1kg,1,39.39,39.39,5923.45,0.0,947.75,6878.16,Tarjeta
0FHWEB,2025-07-15,Sartén antiadherente,2,362.36,724.73,5923.45,0.0,947.75,6878.16,Tarjeta
0FHWEB,2025-07-15,Pollo 1kg,3,125.7,377.11,5923.45,0.0,947.75,6878.16,Tarjeta
0FHWEB,2025-07-15,Sartén antiadherente,1,336.68,336.68,5923.45,0.0,947.75,6878.16,Tarjeta
0FHWEB,2025-07-15,Arroz 1kg,2,40.21,80.43,5923.45,0.0,947.75,6878.16,Tarjeta
0FHWEB,2025-07-15,Pollo 1kg,2,120.09,240.18,5923.45,0.0,947.75,6878.16,Tarjeta
0FHWEB,2025-07-15,Pollo 1kg,3,124.47,373.4,5923.45,0.0,947.75,6878.16,Tarjeta
0FHWEB,2025-07-15,Huevos 12pz,3,78.67,236.01,5923.45,0.0,947.75,6878.16,Tarjeta
0FHWEB,2025-07-15,Licuadora,3,809.26,2427.77,5923.45,0.0,947.75,6878.16,Tarjeta
0FHWEB,2025-07-15,Arroz 1kg,1,40.43,40.43,5923.45,0.0,947.75,6878.16,Tarjeta
0FHWEB,2025-07-15,Pollo 1kg,2,118.42,236.83,5923.45,0.0,947.75,6878.16,Tarjeta
0FHWEB,2025-07-15,Detergente 2kg,8,89.51,716.08,5923.45,0.0,947.75,6878.16,Tarjeta
0FHWEB,2025-07-15,Pan Baguette,3,31.47,94.41,5923.45,0.0,947.75,6878.16,Tarjeta
0FLXM2,2025-06-03,Arroz 1kg,1,40.46,40.46,5877.39,0.0,940.38,6885.5,Tarjeta
0FLXM2,2025-06-03,Huevos 12pz,1,83.9,83.9,5877.39,0.0,940.38,6885.5,Tarjeta
0FLXM2,2025-06-03,Licuadora,3,789.63,2368.89,5877.39,0.0,940.38,6885.5,Tarjeta
0FLXM2,2025-06-03,Pollo 1kg,1,124.23,124.23,5877.39,0.0,940.38,6885.5,Tarjeta
0FLXM2,2025-06-03,Refresco 2L,1,36.3,36.3,5877.39,0.0,940.38,6885.5,Tarjeta
0FLXM2,2025-06-03,Leche 1L,2,25.59,51.19,5877.39,0.0,940.38,6885.5,Tarjeta
0FLXM2,2025-06-03,Huevos 12pz,2,81.37,162.74,5877.39,0.0,940.38,6885.5,Tarjeta
0FLXM2,2025-06-03,Huevos 12pz,2,79.64,159.28,5877.39,0.0,940.38,6885.5,Tarjeta
0FLXM2,2025-06-03,Licuadora,3,833.34,2500.01,5877.39,0.0,940.38,6885.5,Tarjeta
0FLXM2,2025-06-03,Refresco 2L,2,35.95,71.9,5877.39,0.0,940.38,6885.5,Tarjeta
0FLXM2,2025-06-03,Detergente 2kg,3,92.83,278.49,5877.39,0.0,940.38,6885.5,Tarjeta
0IJIA3,2025-09-01,Refresco 2L,3,36.0,107.99,4832.26,0.0,773.16,5591.21,Tarjeta
0IJIA3,2025-09-01,Pan Baguette,1,29.25,29.25,4832.26,0.0,773.16,5591.21,Tarjeta
0IJIA3,2025-09-01,Detergente 2kg,3,86.9,260.7,4832.26,0.0,773.16,5591.21,Tarjeta
0IJIA3,2025-09-01,Detergente 2kg,2,88.09,176.17,4832.26,0.0,773.16,5591.21,Tarjeta
0IJIA3,2025-09-01,Pollo 1kg,1,116.66,116.66,4832.26,0.0,773.16,5591.21,Tarjeta
0IJIA3,2025-09-01,Arroz 1kg,1,39.74,39.74,4832.26,0.0,773.16,5591.21,Tarjeta
0IJIA3,2025-09-01,Licuadora,1,779.35,779.35,4832.26,0.0,773.16,5591.21,Tarjeta
0IJIA3,2025-09-01,Refresco 2L,1,35.77,35.77,4832.26,0.0,773.16,5591.21,Tarjeta
0IJIA3,2025-09-01,Arroz 1kg,2,38.32,76.63,4832.26,0.0,773.16,5591.21,Tarjeta
0IJIA3,2025-09-01,Leche 1L,3,24.39,73.18,4832.26,0.0,773.16,5591.21,Tarjeta
0IJIA3,2025-09-01,Audífonos,2,1513.74,3027.47,4832.26,0.0,773.16,5591.21,Tarjeta
0IJIA3,2025-09-01,Refresco 2L,3,36.45,109.35,4832.26,0.0,773.16,5591.21,Tarjeta
0IRYP2,2025-07-22,Detergente 2kg,3,91.92,275.77,5803.97,0.0,928.64,6694.37,Transferencia
0IRYP2,2025-07-22,Licuadora,1,781.59,781.59,5803.97,0.0,928.64,6694.37,Transferencia
0IRYP2,2025-07-22,Sartén antiadherente,1,360.77,360.77,5803.97,0.0,928.64,6694.37,Transferencia
0IRYP2,2025-07-22,Arroz 1kg,3,41.45,124.35,5803.97,0.0,928.64,6694.37,Transferencia
0IRYP2,2025-07-22,Huevos 12pz,2,81.91,163.82,5803.97,0.0,928.64,6694.37,Transferencia
0IRYP2,2025-07-22,Sartén antiadherente,3,353.91,1061.74,5803.97,0.0,928.64,6694.37,Transferencia
0IRYP2,2025-07-22,Leche 1L,3,24.7,74.11,5803.97,0.0,928.64,6694.37,Transferencia
0IRYP2,2025-07-22,Arroz 1kg,1,41.09,41.09,5803.97,0.0,928.64,6694.37,Transferencia
0IRYP2,2025-07-22,Detergente 2kg,1,87.53,87.53,5803.97,0.0,928.64,6694.37,Transferencia
0IRYP2,2025-07-22,Licuadora,2,809.69,1619.37,5803.97,0.0,928.64,6694.37,Transferencia
0IRYP2,2025-07-22,Pan Baguette,1,29.29,29.29,5803.97,0.0,928.64,6694.37,Transferencia
0IRYP2,2025-07-22,Arroz 1kg,2,41.77,83.53,5803.97,0.0,928.64,6694.37,Transferencia
0IRYP2,2025-07-22,Sartén antiadherente,3,339.59,1018.78,5803.97,0.0,928.64,6694.37,Transferencia
0IRYP2,2025-07-22,Huevos 12pz,1,82.23,82.23,5803.97,0.0,928.64,6694.37,Transferencia
0JCB09,2025-07-15,Pollo 1kg,1,124.88,124.88,6393.08,319.65,971.75,7009.08,Transferencia
0JCB09,2025-07-15,Huevos 12pz,2,78.76,157.51,6393.08,319.65,971.75,7009.08,Transferencia
0JCB09,2025-07-15,Detergente 2kg,3,87.91,263.73,6393.08,319.65,971.75,7009.08,Transferencia
0JCB09,2025-07-15,Leche 1L,3,25.33,76.0,6393.08,319.65,971.75,7009.08,Transferencia
0JCB09,2025-07-15,Pan Baguette,1,30.78,30.78,6393.08,319.65,971.75,7009.08,Transferencia
0JCB09,2025-07-15,Arroz 1kg,3,38.86,116.59,6393.08,319.65,971.75,7009.08,Transferencia
0JCB09,2025-07-15,Audífonos,2,1521.63,3043.27,6393.08,319.65,971.75,7009.08,Transferencia
0JCB09,2025-07-15,Huevos 12pz,2,77.56,155.11,6393.08,319.65,971.75,7009.08,Transferencia
0JCB09,2025-07-15,Refresco 2L,1,35.56,35.56,6393.08,319.65,971.75,7009.08,Transferencia
0JCB09,2025-07-15,Licuadora,3,764.58,2293.74,6393.08,319.65,971.75,7009.08,Transferencia
0JCB09,2025-07-15,Leche 1L,1,25.55,25.55,6393.08,319.65,971.75,7009.08,Transferencia
0JCB09,2025-07-15,Refresco 2L,2,35.18,70.36,6393.08,319.65,971.75,7009.08,Transferencia
0JPPWW,2025-07-05,Pan Baguette,3,29.7,89.1,4950.54,0.0,792.09,5710.65,Transferencia
0JPPWW,2025-07-05,Leche 1L,3,25.31,75.93,4950.54,0.0,792.09,5710.65,Transferencia
0JPPWW,2025-07-05,Pollo 1kg,1,124.57,124.57,4950.54,0.0,792.09,5710.65,Transferencia
0JPPWW,2025-07-05,Licuadora,2,826.37,1652.75,4950.54,0.0,792.09,5710.65,Transferencia
0JPPWW,2025-07-05,Pollo 1kg,1,121.8,121.8,4950.54,0.0,792.09,5710.65,Transferencia
0JPPWW,2025-07-05,Refresco 2L,3,35.96,107.88,4950.54,0.0,792.09,5710.65,Transferencia
0JPPWW,2025-07-05,Sartén antiadherente,3,366.21,1098.64,4950.54,0.0,792.09,5710.65,Transferencia
0JPPWW,2025-07-05,Arroz 1kg,2,41.05,82.11,4950.54,0.0,792.09,5710.65,Transferencia
0JPPWW,2025-07-05,Refresco 2L,3,34.03,102.09,4950.54,0.0,792.09,5710.65,Transferencia
0JPPWW,2025-07-05,Audífonos,1,1495.67,1495.67,4950.54,0.0,792.09,5710.65,Transferencia
0LXQMR,2025-08-05,Sartén antiadherente,1,355.69,355.69,5698.21,0.0,911.71,6627.98,Transferencia
0LXQMR,2025-08-05,Pan Baguette,3,29.55,88.65,5698.21,0.0,911.71,6627.98,Transferencia
0LXQMR,2025-08-05,Arroz 1kg,1,38.94,38.94,5698.21,0.0,911.71,6627.98,Transferencia
0LXQMR,2025-08-05,Detergente 2kg,2,92.33,184.66,5698.21,0.0,911.71,6627.98,Transferencia
0LXQMR,2025-08-05,Leche 1L,1,24.41,24.41,5698.21,0.0,911.71,6627.98,Transferencia
0LXQMR,2025-08-05,Refresco 2L,1,35.39,35.39,5698.21,0.0,911.71,6627.98,Transferencia
0LXQMR,2025-08-05,Licuadora,1,770.47,770.47,5698.21,0.0,911.71,6627.98,Transferencia
0LXQMR,2025-08-05,Arroz 1kg,3,38.57,115.71,5698.21,0.0,911.71,6627.98,Transferencia
0LXQMR,2025-08-05,Huevos 12pz,2,83.72,167.44,5698.21,0.0,911.71,6627.98,Transferencia
0LXQMR,2025-08-05,Microondas,2,1958.43,3916.85,5698.21,0.0,911.71,6627.98,Transferencia
0OGOGJ,2025-06-11,Refresco 2L,1,36.04,36.04,5886.61,0.0,941.86,6878.06,Tarjeta
0OGOGJ,2025-06-11,Leche 1L,2,25.41,50.83,5886.61,0.0,941.86,6878.06,Tarjeta
0OGOGJ,2025-06-11,Leche 1L,3,24.92,74.76,5886.61,0.0,941.86,6878.06,Tarjeta
0OGOGJ,2025-06-11,Sartén antiadherente,3,338.7,1016.11,5886.61,0.0,941.86,6878.06,Tarjeta
0OGOGJ,2025-06-11,Pan Baguette,3,28.87,86.62,5886.61,0.0,941.86,6878.06,Tarjeta
0OGOGJ,2025-06-11,Detergente 2kg,3,91.37,274.1,5886.61,0.0,941.86,6878.06,Tarjeta
0OGOGJ,2025-06-11,Pollo 1kg,2,120.6,241.21,5886.61,0.0,941.86,6878.06,Tarjeta
0OGOGJ,2025-06-11,Huevos 12pz,1,78.76,78.76,5886.61,0.0,941.86,6878.06,Tarjeta
0OGOGJ,2025-06-11,Sartén antiadherente,3,332.54,997.63,5886.61,0.0,941.86,6878.06,Tarjeta
0OGOGJ,2025-06-11,Leche 1L,3,25.55,76.65,5886.61,0.0,941.86,6878.06,Tarjeta
0OGOGJ,2025-06-11,Pan Baguette,2,30.52,61.03,5886.61,0.0,941.86,6878.06,Tarjeta
0OGOGJ,2025-06-11,Refresco 2L,2,35.72,71.43,5886.61,0.0,941.86,6878.06,Tarjeta
0OGOGJ,2025-06-11,Huevos 12pz,1,79.8,79.8,5886.61,0.0,941.86,6878.06,Tarjeta
0OGOGJ,2025-06-11,Licuadora,3,837.11,2511.32,5886.61,0.0,941.86,6878.06,Tarjeta
0OGOGJ,2025-06-11,Huevos 12pz,3,76.77,230.32,5886.61,0.0,941.86,6878.06,Tarjeta
0OHEIR,2025-06-05,Sartén antiadherente,2,341.63,683.25,4764.9,0.0,762.38,5555.0,Transferencia
0OHEIR,2025-06-05,Detergente 2kg,3,87.83,263.5,4764.9,0.0,762.38,5555.0,Transferencia
0OHEIR,2025-06-05,Arroz 1kg,2,38.42,76.84,4764.9,0.0,762.38,5555.0,Transferencia
0OHEIR,2025-06-05,Refresco 2L,3,35.37,106.11,4764.9,0.0,762.38,5555.0,Transferencia
0OHEIR,2025-06-05,Audífonos,1,1559.25,1559.25,4764.9,0.0,762.38,5555.0,Transferencia
0OHEIR,2025-06-05,Audífonos,1,1504.9,1504.9,4764.9,0.0,762.38,5555.0,Transferencia
0OHEIR,2025-06-05,Pan Baguette,1,30.54,30.54,4764.9,0.0,762.38,5555.0,Transferencia
0OHEIR,2025-06-05,Arroz 1kg,3,40.38,121.14,4764.9,0.0,762.38,5555.0,Transferencia
0OHEIR,2025-06-05,Huevos 12pz,1,76.25,76.25,4764.9,0.0,762.38,5555.0,Transferencia
0OHEIR,2025-06-05,Pollo 1kg,3,114.37,343.12,4764.9,0.0,762.38,5555.0,Transferencia
0OU1FW,2025-06-29,Refresco 2L,3,36.02,108.06,4909.06,0.0,785.45,5638.62,Tarjeta
0OU1FW,2025-06-29,Refresco 2L,3,35.38,106.13,4909.06,0.0,785.45,5638.62,Tarjeta
0OU1FW,2025-06-29,Licuadora,1,771.07,771.07,4909.06,0.0,785.45,5638.62,Tarjeta
0OU1FW,2025-06-29,Sartén antiadherente,1,366.0,366.0,4909.06,0.0,785.45,5638.62,Tarjeta
0OU1FW,2025-06-29,Microondas,1,2039.22,2039.22,4909.06,0.0,785.45,5638.62,Tarjeta
0OU1FW,2025-06-29,Leche 1L,3,25.68,77.05,4909.06,0.0,785.45,5638.62,Tarjeta
0OU1FW,2025-06-29,Huevos 12pz,3,77.56,232.67,4909.06,0.0,785.45,5638.62,Tarjeta
0OU1FW,2025-06-29,Arroz 1kg,1,40.35,40.35,4909.06,0.0,785.45,5638.62,Tarjeta
0OU1FW,2025-06-29,Sartén antiadherente,3,350.08,1050.24,4909.06,0.0,785.45,5638.62,Tarjeta
0OU1FW,2025-06-29,Pollo 1kg,1,118.27,118.27,4909.06,0.0,785.45,5638.62,Tarjeta
0OUF97,2025-06-07,Huevos 12pz,2,78.38,156.75,5814.61,0.0,930.34,6764.49,Efectivo
0OUF97,2025-06-07,Refresco 2L,1,33.74,33.74,5814.61,0.0,930.34,6764.49,Efectivo
0OUF97,2025-06-07,Licuadora,1,791.26,791.26,5814.61,0.0,930.34,6764.49,Efectivo
0OUF97,2025-06-07,Pan Baguette,1,29.31,29.31,5814.61,0.0,930.34,6764.49,Efectivo
0OUF97,2025-06-07,Leche 1L,3,25.59,76.76,5814.61,0.0,930.34,6764.49,Efectivo
